artifact,role,status,sha256,evidence_note
research/HANOI_HUST_AS_G3_RESNET1D_AUDIT_20260730.md,G3 ResNet1D audit,verified,local document,architecture, budget, metrics, and negative-result decision
results/g3/hanoi_hust_inceptiontime_bearing_grouped.json,G3 InceptionTime result,verified,8b3d19ec0cf66a0fe3b9e3ba6122169d9bb722396f9588807e9c913c6e6f38b1,100 bearing-grouped source-only splits; 3 epochs; negative comparator
results/g3/unit_level_predictions/hanoi_hust_inceptiontime_bearing_grouped.npz,G3 InceptionTime unit predictions,verified,0f8dfe97a93a4f6b0f60d66bf1f5ede536ad31a37c4f2ad03d29035a72201dd2,physical-bearing predictions for audit
research/HANOI_HUST_AS_G3_INCEPTIONTIME_AUDIT_20260730.md,G3 InceptionTime audit,verified,local document,architecture, budget, metrics, and negative-result decision
results/g3/hanoi_hust_groupdro_bearing_grouped.json,G3 GroupDRO result,verified,6ed07f36fdd631a7e01cc5cd7dd8a8b15a6036bb2ceb041d75563647aad8963d,100 bearing-grouped source-only splits; six source-domain reweighting rounds
results/g3/unit_level_predictions/hanoi_hust_groupdro_bearing_grouped.npz,G3 GroupDRO unit predictions,verified,b920a28f8237fc55ed9f78fd5811983c0faf64e4636b781926af772605c6bdfa,physical-bearing predictions for audit
research/HANOI_HUST_AS_G3_GROUPDRO_AUDIT_20260730.md,G3 GroupDRO audit,verified,local document,source-only domain robustness and no-test-statistics boundary
results/g3/hanoi_hust_groupdro_vs_logistic_paired.json,G3 GroupDRO paired comparison,verified,local result,identical 100 splits; sign permutation p=0.00211
research/HANOI_HUST_AS_G3_GROUPDRO_PAIRED_COMPARISON_20260730.md,G3 GroupDRO paired comparison audit,verified,local document,negative comparison and conservative inclusion decision
research/HANOI_HUST_20260727/HANOI_HUST_AS_G3_Table_20260730.tex,manuscript G3 audit table,verified,fafd7c4bbb5f24f5a5569be97a8f840a92649c03e8d5997099cfa8bf6bf7683c,100-split model-family comparison
research/HANOI_HUST_20260727/HANOI_HUST_DSP_doublecolumn_draft_20260728.tex,Applied Sciences manuscript source,current,09fd3d6e6075d4aff26301e18ff34450a36f00943ffa93f62ec15ba69fcd29e7,journal target, G3 evidence, and submission declarations integrated
research/HANOI_HUST_20260727/HANOI_HUST_DSP_doublecolumn_draft_20260728.pdf,compiled manuscript PDF,verified,f8041ead94e42839b092b5c8b67cc1355dcdf3de57feaba51f79d99c6889cda0,10 pages; pdflatex and visual page review passed
research/HANOI_HUST_AS_SUBMISSION_COMPLIANCE_AUDIT_20260730.md,Applied Sciences submission compliance audit,verified,local document,required sections, data statement, declarations, compilation and visual checks
